low;high;mean;BudgetPP_log;Freq;Group
0,0999570452052245;0,1761406186856;0,137265458648871;6;14;PB adoption
0,112967202659575;0,177371556006992;0,14445878882349;6,25;39;PB adoption
0,126687853682137;0,178482906952893;0,151652118998109;6,5;106;PB adoption
0,138220553795061;0,17994648417785;0,158845449172728;6,75;161;PB adoption
0,149627921839989;0,18391162726043;0,166038779347348;7;273;PB adoption
0,15801302775506;0,188817967177516;0,173232109521967;7,25;348;PB adoption
0,163930500054207;0,197485061687898;0,180425439696586;7,5;470;PB adoption
0,166890453973317;0,207530303758334;0,187618769871206;7,75;392;PB adoption
0,169371033631945;0,218381232936143;0,194812100045825;8;230;PB adoption
0,171205854956173;0,232046433908019;0,202005430220444;8,25;98;PB adoption
0,17190436476349;0,244970289918396;0,209198760395064;8,5;27;PB adoption
0,172827178415393;0,257771720240893;0,216392090569683;8,75;13;PB adoption
0,174383541004347;0,271297375788197;0,223585420744302;9;7;PB adoption
0,0909412697883031;0,299875113177896;0,194727347386061;6;0;PB Continuity
0,116018076613985;0,298086387730742;0,207018324792997;6,25;0;PB Continuity
0,141825079346791;0,294776042435924;0,219309302199932;6,5;0;PB Continuity
0,167910911027123;0,293661909818049;0,231600279606868;6,75;0;PB Continuity
0,191272822986629;0,296869979374363;0,243891257013803;7;0;PB Continuity
0,211961434490727;0,301877925449347;0,256182234420738;7,25;0;PB Continuity
0,225259274878529;0,315845877211546;0,268473211827674;7,5;0;PB Continuity
0,23241348023011;0,333701763069649;0,280764189234609;7,75;0;PB Continuity
0,233685730055314;0,356882055383155;0,293055166641545;8;0;PB Continuity
0,23325973820885;0,382107658048059;0,30534614404848;8,25;0;PB Continuity
0,233217837664757;0,408241094767486;0,317637121455415;8,5;0;PB Continuity
0,230236354331474;0,436217745045433;0,329928098862351;8,75;0;PB Continuity
0,22627059183564;0,464212958298669;0,342219076269286;9;0;PB Continuity
