low;high;mean;population_log;Freq;Group
0,461891330264944;0,750384171871613;0,605771081532931;10;0;PT   
0,522715028630576;0,756559023877833;0,63972932036664;10,5;0;PT   
0,582647311200149;0,759220877126684;0,673687559200349;11;162;PT   
0,637540824085118;0,773722491565257;0,707645798034058;11,5;789;PT   
0,685000516898579;0,800264816549711;0,741604036867767;12;490;PT   
0,711869681282528;0,84022718133873;0,775562275701476;12,5;310;PT   
0,726276848982883;0,890237862031106;0,809520514535185;13;221;PT   
0,735452221152916;0,94790216072812;0,843478753368894;13,5;101;PT   
0,741450064360425;1,00812406251806;0,877436992202603;14;53;PT   
0,747157335979845;1,07061214005026;0,911395231036312;14,5;30;PT   
0,753137262021212;1,13340988186873;0,94535346987002;15;16;PT   
0,75569340828995;1,20425441634503;0,979311708703729;15,5;0;PT   
0,758259601283812;1,26822089020187;1,01326994753744;16;5;PT   
-0,133477669501236;0,00710666335912808;-0,0628007239617997;10;0;Left   
-0,0435473295596958;0,0700586721882128;0,0128020328024352;10,5;0;Left   
0,0442701550667659;0,134280094076787;0,0884047895666702;11;0;Left   
0,129710513866163;0,199879342848274;0,164007546330905;11,5;0;Left   
0,208510432530673;0,271852368409435;0,23961030309514;12;0;Left   
0,279651163309084;0,351349315560078;0,315213059859375;12,5;0;Left   
0,345735951811367;0,438350176241309;0,39081581662361;13;0;Left   
0,407648378510912;0,526871557570633;0,466418573387845;13,5;0;Left   
0,468591408987829;0,616762246923304;0,54202133015208;14;0;Left   
0,529912145340332;0,707378341115738;0,617624086916315;14,5;0;Left   
0,589802755810745;0,796807973966193;0,69322684368055;15;0;Left   
0,648963121581046;0,889451625871257;0,768829600444785;15,5;0;Left   
0,706996831476781;0,980609485917925;0,84443235720902;16;0;Left   
-0,0345839371913205;0,0394989428687683;0,00188509336215533;10;0;Center-Right
0,00657927325095228;0,0626633917402364;0,0340312125727047;10,5;0;Center-Right
0,0448900924388976;0,0867926152047193;0,066177331783254;11;0;Center-Right
0,0828469817634426;0,11316224390609;0,0983234509938033;11,5;0;Center-Right
0,116644130683311;0,14478393764438;0,130469570204353;12;0;Center-Right
0,143669734069952;0,181575436223153;0,162615689414902;12,5;0;Center-Right
0,16785428126701;0,220739712748185;0,194761808625451;13;0;Center-Right
0,192139577993219;0,262106460686443;0,226907927836001;13,5;0;Center-Right
0,21461244773758;0,302239540087355;0,25905404704655;14;0;Center-Right
0,237300168296678;0,343386963104923;0,291200166257099;14,5;0;Center-Right
0,260337623546487;0,383640181425706;0,323346285467649;15;0;Center-Right
0,282246577825645;0,424228252367846;0,355492404678198;15,5;0;Center-Right
0,304409163461638;0,465124380758275;0,387638523888747;16;0;Center-Right
