low;high;mean;population_log;Freq;Group
0,67461779872132;1,21958939567798;0,942383209680442;10;0;Before 2002
0,746651788304967;1,18297669850013;0,962102862852421;10,5;0;Before 2002
0,812371865704539;1,15052703919429;0,9818225160244;11;0;Before 2002
0,876821958373392;1,12775587629319;1,00154216919638;11,5;0;Before 2002
0,917523077545657;1,13193229461127;1,02126182236836;12;0;Before 2002
0,927997416670622;1,16671658614951;1,04098147554034;12,5;0;Before 2002
0,898025590349474;1,222969771771;1,06070112871232;13;0;Before 2002
0,863790173779434;1,29710608357618;1,0804207818843;13,5;0;Before 2002
0,830890888052421;1,37489051322726;1,10014043505627;14;0;Before 2002
0,795314903979543;1,45947153855438;1,11986008822825;14,5;0;Before 2002
0,759516855532135;1,5364081016813;1,13957974140023;15;0;Before 2002
0,717317902759021;1,62369585914147;1,15929939457221;15,5;0;Before 2002
0,674556045910955;1,69752332991433;1,17901904774419;16;0;Before 2002
0,186326669479471;0,349664647060854;0,265756128221982;10;0;After 2002
0,250525732183214;0,381288093867428;0,313969818327446;10,5;0;After 2002
0,309182847135871;0,41387742748418;0,36218350843291;11;162;After 2002
0,370286167544587;0,450924024866972;0,410397198538374;11,5;789;After 2002
0,424404385405928;0,49361965946754;0,458610888643838;12;490;After 2002
0,469068683032418;0,543985728699052;0,506824578749303;12,5;310;After 2002
0,504322464127573;0,601489379618393;0,555038268854767;13;221;After 2002
0,538566021486333;0,663883158343399;0,603251958960231;13,5;101;After 2002
0,572075428694915;0,724468126141519;0,651465649065695;14;53;After 2002
0,603876067577927;0,786853745667219;0,699679339171159;14,5;30;After 2002
0,635772611696089;0,848798734076529;0,747893029276624;15;16;After 2002
0,663905702736483;0,912785267523389;0,796106719382088;15,5;0;After 2002
0,693933691274196;0,976589931377861;0,844320409487552;16;5;After 2002
